,minimum,maximum,percentiles,delays,mean
129600,325771,327189,"{0.1: 326266.0, 0.2: 326297.0, 0.3: 326309.0, 0.4: 326353.0, 0.5: 326609.5, 0.6: 326984.0, 0.7: 327050.0, 0.8: 327064.0, 0.9: 327070.0}",0,326631.0
133200,326981,327241,"{0.1: 326992.0, 0.2: 327021.0, 0.3: 327039.0, 0.4: 327047.0, 0.5: 327071.0, 0.6: 327119.0, 0.7: 327121.0, 0.8: 327133.0, 0.9: 327226.0}",0,327088.5
136800,326958,328587,"{0.1: 326970.0, 0.2: 327011.0, 0.3: 327023.0, 0.4: 327037.0, 0.5: 327181.0, 0.6: 327359.0, 0.7: 328101.0, 0.8: 328154.0, 0.9: 328438.0}",1662,327500.0
140400,327969,329235,"{0.1: 328403.0, 0.2: 328428.0, 0.3: 328623.0, 0.4: 328641.0, 0.5: 328697.0, 0.6: 328745.0, 0.7: 328799.0, 0.8: 328823.0, 0.9: 328869.0}",0,328660.75
144000,327528,327881,"{0.1: 327542.0, 0.2: 327574.0, 0.3: 327583.0, 0.4: 327589.0, 0.5: 327629.5, 0.6: 327694.0, 0.7: 327783.0, 0.8: 327843.0, 0.9: 327860.0}",0,327678.0
147600,327635,328179,"{0.1: 327659.0, 0.2: 327707.0, 0.3: 327736.0, 0.4: 327848.0, 0.5: 327911.0, 0.6: 328012.0, 0.7: 328054.0, 0.8: 328088.0, 0.9: 328099.0}",28,327903.25
151200,327851,328817,"{0.1: 327867.0, 0.2: 327874.0, 0.3: 327973.0, 0.4: 328080.0, 0.5: 328273.0, 0.6: 328519.0, 0.7: 328717.0, 0.8: 328788.0, 0.9: 328812.0}",195,328320.3333333333
154800,327575,328252,"{0.1: 327719.0, 0.2: 327835.0, 0.3: 327846.0, 0.4: 327881.0, 0.5: 327959.0, 0.6: 328001.0, 0.7: 328034.0, 0.8: 328082.0, 0.9: 328150.0}",0,327941.0833333333
158400,327865,328523,"{0.1: 327869.0, 0.2: 327974.0, 0.3: 328004.0, 0.4: 328063.0, 0.5: 328181.5, 0.6: 328323.0, 0.7: 328381.0, 0.8: 328388.0, 0.9: 328501.0}",10,328187.8333333333
162000,327325,328723,"{0.1: 327399.0, 0.2: 327508.0, 0.3: 327530.0, 0.4: 327535.0, 0.5: 327609.0, 0.6: 327617.0, 0.7: 327877.0, 0.8: 328174.0, 0.9: 328306.0}",0,327767.6666666667
165600,325732,327333,"{0.1: 325943.0, 0.2: 326120.0, 0.3: 326223.0, 0.4: 326292.0, 0.5: 326360.5, 0.6: 326510.0, 0.7: 326677.0, 0.8: 326826.0, 0.9: 326844.0}",0,326435.0833333333
169200,324589,326157,"{0.1: 324605.0, 0.2: 324930.0, 0.3: 325052.0, 0.4: 325156.0, 0.5: 325623.0, 0.6: 325887.0, 0.7: 325890.0, 0.8: 326023.0, 0.9: 326048.0}",0,325465.25
