,minimum,maximum,percentiles,delays
79200,326414,330506,"{0.1: 326713.0, 0.2: 326773.0, 0.3: 326816.0, 0.4: 327039.0, 0.5: 327113.0, 0.6: 327478.0, 0.7: 329733.0, 0.8: 330391.0, 0.9: 330392.0}",2502
82800,323889,330122,"{0.1: 324052.0, 0.2: 324074.0, 0.3: 324128.0, 0.4: 324247.0, 0.5: 325382.0, 0.6: 327765.0, 0.7: 329608.0, 0.8: 329788.0, 0.9: 329908.0}",920
86400,323843,324634,"{0.1: 323862.0, 0.2: 323923.0, 0.3: 323931.0, 0.4: 324019.0, 0.5: 324160.0, 0.6: 324486.0, 0.7: 324514.0, 0.8: 324592.0, 0.9: 324601.0}",1376
90000,323496,324347,"{0.1: 323517.0, 0.2: 323519.0, 0.3: 323671.0, 0.4: 323837.0, 0.5: 323881.5, 0.6: 323890.0, 0.7: 323939.0, 0.8: 324097.0, 0.9: 324180.0}",1063
93600,322690,323716,"{0.1: 322877.0, 0.2: 322913.0, 0.3: 322958.0, 0.4: 323127.0, 0.5: 323237.0, 0.6: 323320.0, 0.7: 323419.0, 0.8: 323464.0, 0.9: 323679.0}",1312
97200,321758,322948,"{0.1: 322084.0, 0.2: 322101.0, 0.3: 322245.0, 0.4: 322263.0, 0.5: 322334.0, 0.6: 322489.0, 0.7: 322701.0, 0.8: 322821.0, 0.9: 322948.0}",1285
100800,321457,322291,"{0.1: 321526.0, 0.2: 321602.0, 0.3: 321652.0, 0.4: 321790.0, 0.5: 321793.0, 0.6: 321803.0, 0.7: 321805.0, 0.8: 321850.0, 0.9: 322233.0}",1703
104400,321036,322704,"{0.1: 321138.0, 0.2: 321305.0, 0.3: 321407.0, 0.4: 321506.0, 0.5: 321551.5, 0.6: 321572.0, 0.7: 321590.0, 0.8: 322015.0, 0.9: 322617.0}",1640
108000,322505,323819,"{0.1: 322525.0, 0.2: 322539.0, 0.3: 322615.0, 0.4: 322657.0, 0.5: 322930.0, 0.6: 323018.0, 0.7: 323266.0, 0.8: 323525.0, 0.9: 323724.0}",2218
111600,322688,323510,"{0.1: 322721.0, 0.2: 322824.0, 0.3: 323005.0, 0.4: 323052.0, 0.5: 323254.0, 0.6: 323279.0, 0.7: 323303.0, 0.8: 323366.0, 0.9: 323380.0}",1466
115200,322430,323663,"{0.1: 322511.0, 0.2: 322771.0, 0.3: 322840.0, 0.4: 322948.0, 0.5: 323085.5, 0.6: 323121.0, 0.7: 323334.0, 0.8: 323534.0, 0.9: 323645.0}",2005
118800,323577,323971,"{0.1: 323657.0, 0.2: 323694.0, 0.3: 323727.0, 0.4: 323776.0, 0.5: 323800.5, 0.6: 323829.0, 0.7: 323834.0, 0.8: 323856.0, 0.9: 323862.0}",1790
122400,323723,324155,"{0.1: 323819.0, 0.2: 323832.0, 0.3: 323868.0, 0.4: 323904.0, 0.5: 323951.5, 0.6: 323992.0, 0.7: 324052.0, 0.8: 324064.0, 0.9: 324124.0}",1701
126000,324183,325533,"{0.1: 324228.0, 0.2: 324235.0, 0.3: 324243.0, 0.4: 324292.0, 0.5: 324442.0, 0.6: 324816.0, 0.7: 325217.0, 0.8: 325229.0, 0.9: 325482.0}",1758
129600,325700,327188,"{0.1: 325771.0, 0.2: 326266.0, 0.3: 326287.0, 0.4: 326307.0, 0.5: 326355.5, 0.6: 326860.0, 0.7: 327046.0, 0.8: 327062.0, 0.9: 327064.0}",1672
133200,326943,327212,"{0.1: 326951.0, 0.2: 326976.0, 0.3: 326992.0, 0.4: 327028.0, 0.5: 327034.5, 0.6: 327113.0, 0.7: 327121.0, 0.8: 327123.0, 0.9: 327207.0}",1512
136800,326946,328453,"{0.1: 326956.0, 0.2: 327002.0, 0.3: 327022.0, 0.4: 327026.0, 0.5: 327074.5, 0.6: 327409.0, 0.7: 328204.0, 0.8: 328389.0, 0.9: 328418.0}",2114
140400,328177,329133,"{0.1: 328407.0, 0.2: 328503.0, 0.3: 328508.0, 0.4: 328595.0, 0.5: 328647.0, 0.6: 328707.0, 0.7: 328714.0, 0.8: 328732.0, 0.9: 328765.0}",2066
144000,327502,327879,"{0.1: 327532.0, 0.2: 327559.0, 0.3: 327560.0, 0.4: 327562.0, 0.5: 327615.5, 0.6: 327675.0, 0.7: 327765.0, 0.8: 327849.0, 0.9: 327863.0}",1471
147600,327610,328195,"{0.1: 327657.0, 0.2: 327677.0, 0.3: 327707.0, 0.4: 327834.0, 0.5: 327867.5, 0.6: 327921.0, 0.7: 328009.0, 0.8: 328051.0, 0.9: 328073.0}",2003
151200,327845,328810,"{0.1: 327863.0, 0.2: 327871.0, 0.3: 327906.0, 0.4: 328069.0, 0.5: 328117.5, 0.6: 328674.0, 0.7: 328746.0, 0.8: 328758.0, 0.9: 328787.0}",1640
154800,327544,328330,"{0.1: 327712.0, 0.2: 327800.0, 0.3: 327825.0, 0.4: 327837.0, 0.5: 327952.0, 0.6: 327995.0, 0.7: 328012.0, 0.8: 328131.0, 0.9: 328146.0}",1471
158400,327836,328528,"{0.1: 327855.0, 0.2: 327974.0, 0.3: 327982.0, 0.4: 327995.0, 0.5: 328061.0, 0.6: 328287.0, 0.7: 328307.0, 0.8: 328380.0, 0.9: 328386.0}",2002
162000,327313,328709,"{0.1: 327361.0, 0.2: 327494.0, 0.3: 327517.0, 0.4: 327580.0, 0.5: 327591.0, 0.6: 327853.0, 0.7: 328155.0, 0.8: 328291.0, 0.9: 328500.0}",1226
165600,325931,327515,"{0.1: 326103.0, 0.2: 326203.0, 0.3: 326285.0, 0.4: 326310.0, 0.5: 326428.5, 0.6: 326611.0, 0.7: 326807.0, 0.8: 326829.0, 0.9: 327316.0}",1247
169200,324519,326098,"{0.1: 324847.0, 0.2: 325034.0, 0.3: 325143.0, 0.4: 325347.0, 0.5: 325799.0, 0.6: 325872.0, 0.7: 325880.0, 0.8: 325976.0, 0.9: 326020.0}",1199
