,minimum,maximum,percentiles,delays,mean
136800,327006,328398,"{0.1: 327006.0, 0.2: 327007.0, 0.3: 327009.0, 0.4: 327011.0, 0.5: 327013.0, 0.6: 327373.0, 0.7: 328108.0, 0.8: 328317.0, 0.9: 328334.0}",5731,327466.25
140400,328320,329072,"{0.1: 328450.0, 0.2: 328550.0, 0.3: 328638.0, 0.4: 328642.0, 0.5: 328646.0, 0.6: 328655.0, 0.7: 328667.0, 0.8: 328698.0, 0.9: 328728.0}",4004,328642.6666666667
144000,327617,327959,"{0.1: 327619.0, 0.2: 327620.0, 0.3: 327622.0, 0.4: 327634.0, 0.5: 327699.0, 0.6: 327747.0, 0.7: 327770.0, 0.8: 327842.0, 0.9: 327910.0}",1211,327728.1666666667
147600,327763,328129,"{0.1: 327764.0, 0.2: 327765.0, 0.3: 327771.0, 0.4: 327779.0, 0.5: 327790.0, 0.6: 327829.0, 0.7: 327924.0, 0.8: 327994.0, 0.9: 328008.0}",3090,327858.8333333333
151200,327914,328760,"{0.1: 327916.0, 0.2: 327930.0, 0.3: 327935.0, 0.4: 327986.0, 0.5: 328051.5, 0.6: 328633.0, 0.7: 328679.0, 0.8: 328713.0, 0.9: 328721.0}",4041,328274.1666666667
154800,327671,328518,"{0.1: 327673.0, 0.2: 327677.0, 0.3: 327709.0, 0.4: 327713.0, 0.5: 328033.0, 0.6: 328046.0, 0.7: 328124.0, 0.8: 328274.0, 0.9: 328328.0}",1426,327983.25
158400,327697,328480,"{0.1: 327751.0, 0.2: 327894.0, 0.3: 327901.0, 0.4: 327925.0, 0.5: 327993.5, 0.6: 328302.0, 0.7: 328311.0, 0.8: 328321.0, 0.9: 328362.0}",4984,328077.5833333333
162000,327458,328673,"{0.1: 327485.0, 0.2: 327522.0, 0.3: 327528.0, 0.4: 327531.0, 0.5: 327545.0, 0.6: 327938.0, 0.7: 328276.0, 0.8: 328308.0, 0.9: 328468.0}",2240,327856.4166666667
165600,325874,327490,"{0.1: 326118.0, 0.2: 326271.0, 0.3: 326352.0, 0.4: 326454.0, 0.5: 326521.5, 0.6: 326688.0, 0.7: 326890.0, 0.8: 326995.0, 0.9: 327438.0}",234,326634.4166666667
169200,324786,325900,"{0.1: 324875.0, 0.2: 325183.0, 0.3: 325248.0, 0.4: 325440.0, 0.5: 325820.5, 0.6: 325841.0, 0.7: 325844.0, 0.8: 325877.0, 0.9: 325881.0}",1723,325543.0
