,minimum,maximum,percentiles,delays
36000,322735,323313,"{0.1: 322786.0, 0.2: 322804.0, 0.3: 322844.0, 0.4: 322911.0, 0.5: 323074.5, 0.6: 323188.0, 0.7: 323194.0, 0.8: 323198.0, 0.9: 323213.0}",5300
39600,323218,323712,"{0.1: 323224.0, 0.2: 323322.0, 0.3: 323329.0, 0.4: 323333.0, 0.5: 323387.0, 0.6: 323480.0, 0.7: 323536.0, 0.8: 323654.0, 0.9: 323683.0}",3562
43200,323639,325015,"{0.1: 323849.0, 0.2: 324063.0, 0.3: 324090.0, 0.4: 324154.0, 0.5: 324308.0, 0.6: 324323.0, 0.7: 324525.0, 0.8: 324854.0, 0.9: 324960.0}",3775
46800,323896,324355,"{0.1: 323896.0, 0.2: 323934.0, 0.3: 323936.0, 0.4: 323938.0, 0.5: 323950.5, 0.6: 323959.0, 0.7: 324083.0, 0.8: 324090.0, 0.9: 324137.0}",1813
50400,323784,326659,"{0.1: 323793.0, 0.2: 323806.0, 0.3: 323809.0, 0.4: 323812.0, 0.5: 323833.0, 0.6: 324118.0, 0.7: 324396.0, 0.8: 324832.0, 0.9: 325187.0}",5511
54000,326734,327878,"{0.1: 326808.0, 0.2: 326881.0, 0.3: 326908.0, 0.4: 327010.0, 0.5: 327055.5, 0.6: 327148.0, 0.7: 327197.0, 0.8: 327545.0, 0.9: 327647.0}",3905
57600,325570,326637,"{0.1: 325575.0, 0.2: 325597.0, 0.3: 325631.0, 0.4: 325639.0, 0.5: 325674.5, 0.6: 325716.0, 0.7: 325720.0, 0.8: 325751.0, 0.9: 326160.0}",1555
61200,325430,325738,"{0.1: 325453.0, 0.2: 325491.0, 0.3: 325491.0, 0.4: 325495.0, 0.5: 325510.0, 0.6: 325538.0, 0.7: 325585.0, 0.8: 325624.0, 0.9: 325682.0}",2685
64800,325424,327038,"{0.1: 325429.0, 0.2: 325436.0, 0.3: 325444.0, 0.4: 325454.0, 0.5: 325472.5, 0.6: 325869.0, 0.7: 326312.0, 0.8: 326952.0, 0.9: 327018.0}",4050
68400,326588,327294,"{0.1: 326600.0, 0.2: 326622.0, 0.3: 326691.0, 0.4: 326822.0, 0.5: 326839.0, 0.6: 327057.0, 0.7: 327122.0, 0.8: 327133.0, 0.9: 327217.0}",4518
72000,327372,328132,"{0.1: 327392.0, 0.2: 327411.0, 0.3: 327411.0, 0.4: 327421.0, 0.5: 327620.5, 0.6: 327738.0, 0.7: 327837.0, 0.8: 327980.0, 0.9: 328009.0}",4561
75600,327260,327665,"{0.1: 327271.0, 0.2: 327285.0, 0.3: 327302.0, 0.4: 327329.0, 0.5: 327334.0, 0.6: 327339.0, 0.7: 327341.0, 0.8: 327380.0, 0.9: 327602.0}",1457
79200,326596,330439,"{0.1: 326902.0, 0.2: 326936.0, 0.3: 326998.0, 0.4: 327203.0, 0.5: 327220.5, 0.6: 327238.0, 0.7: 329453.0, 0.8: 330270.0, 0.9: 330312.0}",5282
82800,324046,330068,"{0.1: 324053.0, 0.2: 324256.0, 0.3: 324262.0, 0.4: 324315.0, 0.5: 325480.5, 0.6: 327528.0, 0.7: 329334.0, 0.8: 329740.0, 0.9: 329864.0}",615
86400,323694,324545,"{0.1: 323803.0, 0.2: 323972.0, 0.3: 323982.0, 0.4: 323992.0, 0.5: 324064.5, 0.6: 324339.0, 0.7: 324388.0, 0.8: 324459.0, 0.9: 324464.0}",3467
90000,323667,324292,"{0.1: 323716.0, 0.2: 323756.0, 0.3: 323780.0, 0.4: 323794.0, 0.5: 323812.5, 0.6: 323837.0, 0.7: 323888.0, 0.8: 323999.0, 0.9: 324143.0}",1866
93600,322900,323590,"{0.1: 322994.0, 0.2: 323090.0, 0.3: 323154.0, 0.4: 323185.0, 0.5: 323210.0, 0.6: 323261.0, 0.7: 323321.0, 0.8: 323376.0, 0.9: 323546.0}",2119
97200,322195,323077,"{0.1: 322260.0, 0.2: 322305.0, 0.3: 322333.0, 0.4: 322355.0, 0.5: 322388.5, 0.6: 322425.0, 0.7: 322492.0, 0.8: 322991.0, 0.9: 323047.0}",396
100800,321627,322278,"{0.1: 321632.0, 0.2: 321668.0, 0.3: 321685.0, 0.4: 321715.0, 0.5: 321767.0, 0.6: 321814.0, 0.7: 321830.0, 0.8: 321882.0, 0.9: 321896.0}",1148
104400,321197,322576,"{0.1: 321465.0, 0.2: 321469.0, 0.3: 321472.0, 0.4: 321476.0, 0.5: 321519.0, 0.6: 321616.0, 0.7: 321652.0, 0.8: 321935.0, 0.9: 322541.0}",2729
108000,322384,323770,"{0.1: 322413.0, 0.2: 322461.0, 0.3: 322468.0, 0.4: 322525.0, 0.5: 322855.5, 0.6: 322998.0, 0.7: 323248.0, 0.8: 323510.0, 0.9: 323686.0}",7323
111600,322847,323502,"{0.1: 322924.0, 0.2: 322956.0, 0.3: 322976.0, 0.4: 322984.0, 0.5: 323097.0, 0.6: 323261.0, 0.7: 323270.0, 0.8: 323315.0, 0.9: 323368.0}",2972
115200,322724,323622,"{0.1: 322823.0, 0.2: 322841.0, 0.3: 322905.0, 0.4: 322928.0, 0.5: 322973.0, 0.6: 323031.0, 0.7: 323271.0, 0.8: 323427.0, 0.9: 323599.0}",3779
118800,323556,323920,"{0.1: 323583.0, 0.2: 323654.0, 0.3: 323688.0, 0.4: 323704.0, 0.5: 323741.0, 0.6: 323794.0, 0.7: 323798.0, 0.8: 323823.0, 0.9: 323831.0}",3845
122400,323689,324148,"{0.1: 323806.0, 0.2: 323822.0, 0.3: 323831.0, 0.4: 323859.0, 0.5: 323922.0, 0.6: 323982.0, 0.7: 324024.0, 0.8: 324051.0, 0.9: 324119.0}",3341
126000,324167,325528,"{0.1: 324220.0, 0.2: 324229.0, 0.3: 324232.0, 0.4: 324277.0, 0.5: 324430.0, 0.6: 324813.0, 0.7: 325201.0, 0.8: 325215.0, 0.9: 325226.0}",4017
129600,325699,327106,"{0.1: 325759.0, 0.2: 326254.0, 0.3: 326285.0, 0.4: 326305.0, 0.5: 326347.0, 0.6: 326858.0, 0.7: 327040.0, 0.8: 327060.0, 0.9: 327064.0}",3423
133200,326929,327212,"{0.1: 326941.0, 0.2: 326960.0, 0.3: 326982.0, 0.4: 327005.0, 0.5: 327028.0, 0.6: 327047.0, 0.7: 327105.0, 0.8: 327107.0, 0.9: 327193.0}",3361
136800,326944,328420,"{0.1: 326946.0, 0.2: 326954.0, 0.3: 326966.0, 0.4: 326972.0, 0.5: 327008.5, 0.6: 327348.0, 0.7: 328107.0, 0.8: 328339.0, 0.9: 328359.0}",6141
140400,328160,329104,"{0.1: 328385.0, 0.2: 328445.0, 0.3: 328473.0, 0.4: 328567.0, 0.5: 328603.0, 0.6: 328640.0, 0.7: 328674.0, 0.8: 328701.0, 0.9: 328755.0}",4792
144000,327632,328023,"{0.1: 327640.0, 0.2: 327654.0, 0.3: 327684.0, 0.4: 327702.0, 0.5: 327734.5, 0.6: 327750.0, 0.7: 327817.0, 0.8: 327817.0, 0.9: 327984.0}",1046
147600,327646,328158,"{0.1: 327646.0, 0.2: 327648.0, 0.3: 327660.0, 0.4: 327777.0, 0.5: 327807.0, 0.6: 327830.0, 0.7: 327956.0, 0.8: 328031.0, 0.9: 328035.0}",3675
151200,327817,328792,"{0.1: 327841.0, 0.2: 327850.0, 0.3: 327888.0, 0.4: 328035.0, 0.5: 328101.0, 0.6: 328654.0, 0.7: 328702.0, 0.8: 328751.0, 0.9: 328778.0}",4459
154800,327843,328318,"{0.1: 327850.0, 0.2: 327874.0, 0.3: 327877.0, 0.4: 327881.0, 0.5: 327923.5, 0.6: 327986.0, 0.7: 327994.0, 0.8: 328126.0, 0.9: 328132.0}",2578
158400,327752,328504,"{0.1: 327784.0, 0.2: 327899.0, 0.3: 327917.0, 0.4: 327934.0, 0.5: 328023.5, 0.6: 328228.0, 0.7: 328257.0, 0.8: 328337.0, 0.9: 328367.0}",5069
162000,327569,328606,"{0.1: 327612.0, 0.2: 327655.0, 0.3: 327658.0, 0.4: 327767.0, 0.5: 327770.5, 0.6: 327884.0, 0.7: 328092.0, 0.8: 328269.0, 0.9: 328485.0}",1317
165600,325900,327654,"{0.1: 326127.0, 0.2: 326286.0, 0.3: 326382.0, 0.4: 326454.0, 0.5: 326506.0, 0.6: 326635.0, 0.7: 326845.0, 0.8: 326962.0, 0.9: 327274.0}",0
169200,324786,326169,"{0.1: 324855.0, 0.2: 325214.0, 0.3: 325291.0, 0.4: 325377.0, 0.5: 325856.5, 0.6: 325985.0, 0.7: 326001.0, 0.8: 326043.0, 0.9: 326071.0}",534
